Store_Id,Item,Product,Date,Order_Quantity,Projected_Stock,Stock_Status,Order_Reason
104.0,7218063718.0,TONYS PS CHEESE,2025-07-30,17,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063718.0,TONYS PS CHEESE,2025-08-06,17,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063735.0,TONYS PS MEAT TRIO,2025-07-09,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063735.0,TONYS PS MEAT TRIO,2025-07-16,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063735.0,TONYS PS MEAT TRIO,2025-07-23,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063735.0,TONYS PS MEAT TRIO,2025-07-30,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063735.0,TONYS PS MEAT TRIO,2025-08-06,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063736.0,TONYS PS SUPREME,2025-07-09,10,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063736.0,TONYS PS SUPREME,2025-07-16,10,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063736.0,TONYS PS SUPREME,2025-07-23,10,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063736.0,TONYS PS SUPREME,2025-07-30,10,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063736.0,TONYS PS SUPREME,2025-08-06,10,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063810.0,RED BARON BO CHEESE TRIO,2025-07-09,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063810.0,RED BARON BO CHEESE TRIO,2025-07-16,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063810.0,RED BARON BO CHEESE TRIO,2025-07-23,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063810.0,RED BARON BO CHEESE TRIO,2025-07-30,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063810.0,RED BARON BO CHEESE TRIO,2025-08-06,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063811.0,RED BARON BO PEPPERONI,2025-07-09,17,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063811.0,RED BARON BO PEPPERONI,2025-07-16,17,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063811.0,RED BARON BO PEPPERONI,2025-07-23,17,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063811.0,RED BARON BO PEPPERONI,2025-07-30,17,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063811.0,RED BARON BO PEPPERONI,2025-08-06,17,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
