Date,Store_Id,Item,Product,Day_Of_Week,Month,Price,Weather,Promotion,Stock_Level,Forecast,Std_Dev,Lower_Bound,Upper_Bound,Forecast_Generated,Days_In_Future
2025-07-12,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,5,7,7.99,Normal,0,0,1.8740762,0.22488914966583254,1.4332935138702392,2.314858980560303,2025-08-06 14:12:21.773228,4
2025-07-13,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,6,7,7.99,Normal,0,0,1.8695669,0.2336958646774292,1.4115230226516724,2.327610812187195,2025-08-06 14:12:21.773228,5
2025-07-14,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,0,7,7.99,Normal,0,0,1.8623933,0.24211112380027772,1.387855457353592,2.3369310626506805,2025-08-06 14:12:21.773228,6
2025-07-15,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,1,7,7.99,Normal,0,0,1.8608438,0.25121390998363496,1.3684645140886307,2.3532230412244797,2025-08-06 14:12:21.773228,7
2025-07-16,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,2,7,7.99,Normal,0,0,1.861483,0.2606076169013977,1.3506920487403868,2.372273906993866,2025-08-06 14:12:21.773228,8
2025-07-17,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,3,7,7.99,Normal,0,0,1.864705,0.27038222014904023,1.3347558150529861,2.3946541180372236,2025-08-06 14:12:21.773228,9
2025-07-18,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,4,7,7.99,Normal,0,0,1.8716826,0.28075239658355716,1.3214079465866089,2.421957341194153,2025-08-06 14:12:21.773228,10
2025-07-19,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,5,7,7.99,Normal,0,0,1.8820392,0.291716074347496,1.3102756836175917,2.4538026950597764,2025-08-06 14:12:21.773228,11
2025-07-20,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,6,7,7.99,Normal,0,0,1.8783133,0.3005301284790039,1.2892742511749269,2.467352354812622,2025-08-06 14:12:21.773228,12
2025-07-21,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,0,7,7.99,Normal,0,0,1.8713207,0.3087679195404053,1.2661356021881103,2.476505846786499,2025-08-06 14:12:21.773228,13
2025-07-22,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,1,7,7.99,Normal,0,0,1.8701917,0.3179325878620148,1.2470438210964203,2.493339565515518,2025-08-06 14:12:21.773228,14
2025-07-23,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,2,7,7.99,Normal,0,0,1.874328,0.3280074030160904,1.2314335073232652,2.5172225271463393,2025-08-06 14:12:21.773228,15
2025-07-24,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,3,7,7.99,Normal,0,0,1.8714356,0.33685841560363766,1.2111931476593019,2.5316781368255614,2025-08-06 14:12:21.773228,16
2025-07-25,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,4,7,7.99,Normal,0,0,1.8875703,0.3492004984617233,1.2031372849702837,2.5720032389402387,2025-08-06 14:12:21.773228,17
2025-07-26,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,5,7,7.99,Normal,0,0,1.9065353,0.36224170088768004,1.1965415340900423,2.6165290015697478,2025-08-06 14:12:21.773228,18
2025-07-27,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,6,7,7.99,Normal,0,0,1.8991482,0.37033390402793886,1.1732937738895415,2.625002677679062,2025-08-06 14:12:21.773228,19
2025-07-28,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,0,7,7.99,Normal,0,0,1.8887542,0.37775084972381595,1.1483625831604003,2.6291459140777587,2025-08-06 14:12:21.773228,20
2025-07-29,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,1,7,7.99,Normal,0,0,1.883733,0.3861652719974518,1.1268491010189057,2.6406169672489166,2025-08-06 14:12:21.773228,21
2025-07-30,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,2,7,7.99,Normal,0,0,1.8871992,0.3963118243217469,1.1104279877662657,2.6639703391075136,2025-08-06 14:12:21.773228,22
2025-07-31,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,3,7,7.99,Normal,0,0,1.8879327,0.4059055215120316,1.0923578360319137,2.6835074803590775,2025-08-06 14:12:21.773228,23
2025-08-01,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,4,8,7.99,Normal,0,0,1.8966767,0.41726886510849,1.078829683971405,2.7145236351966857,2025-08-06 14:12:21.773228,24
2025-08-02,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,5,8,7.99,Normal,0,0,1.9071583,0.4291106075048447,1.0661014648675917,2.748215046286583,2025-08-06 14:12:21.773228,25
2025-08-03,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,6,8,7.99,Normal,0,0,1.8991133,0.4367960584163666,1.0429930229663849,2.755233571958542,2025-08-06 14:12:21.773228,26
