Date,Store_Id,Item,Forecast,Product,Size,Forecast_Generated,Days_In_Future,Std_Dev,Lower_Bound,Upper_Bound
2025-07-12,104.0,3913116856.0,0.5822545139142709,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,4,0.0698705416697125,0.4453082522416344,0.7192007755869073
2025-07-13,104.0,3913116856.0,0.6129936793207965,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,5,0.07662420991509956,0.4628102278872014,0.7631771307543916
2025-07-14,104.0,3913116856.0,0.5979906712601447,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,6,0.07773878726381882,0.44562264822305986,0.7503586942972296
2025-07-15,104.0,3913116856.0,0.5377348504686642,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,7,0.07259420481326967,0.39545020903465566,0.6800194919026727
2025-07-16,104.0,3913116856.0,0.698669671057809,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,8,0.09781375394809326,0.5069547133195462,0.8903846287960717
2025-07-17,104.0,3913116856.0,0.6575038293494196,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,9,0.09533805525566585,0.47064124104831456,0.8443664176505248
2025-07-18,104.0,3913116856.0,0.6723400671364087,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,10,0.10085101007046132,0.4746720873983045,0.8700080468745128
2025-07-19,104.0,3913116856.0,0.5994786846336044,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,11,0.09291919611820869,0.41735706024191543,0.7816003090252934
2025-07-20,104.0,3913116856.0,0.7620067522810445,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,12,0.12192108036496713,0.523041434765709,1.0009720697963802
2025-07-21,104.0,3913116856.0,0.5755736881224885,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,13,0.09496965854021061,0.3894331573836758,0.7617142188613013
